NSE_code,Industry,Current_price,Fcf 3years,Fcf 5years,Fcf 7years,Fcf 10years,Market_capitalization,avg_fcf,intrinsic_value,undervalued_score
MANGCHEFER,Fertilizers,131.5,32.45,1459.89,1126.53,1811.82,1558.53,1107.6725,925.0346450983774,793.5346450983774
MCLEODRUSS,Tea,27.1,220.88,598.25,1508.59,1579.19,283.06,976.7275,815.6804256856836,788.5804256856836
SURYAROSNI,Steel - Large,631.95,966.18,1672.31,1777.19,2295.93,6876.72,1677.9025000000001,1401.2426449128063,769.2926449128063
BAJAJELEC,Domestic Appliances,1069.7,1486.12,2735.01,1938.68,2642.44,12326.45,2200.5625,1837.724193030249,768.0241930302489
JPOLYINVST,Finance & Investments,895.9,1769.3,1767.5,1766.82,2546.68,941.57,1962.5749999999998,1638.9771061427887,743.0771061427887
RITES,Engineering - Turnkey Services,689.15,887.33,1527.93,1888.24,2501.53,16560.39,1701.2575000000002,1420.7467710297522,731.5967710297522
SUMICHEM,Pesticides / Agrochemicals - Indian,487.1,1075.9,1641.53,1683.12,1411.05,24313.35,1452.9,1213.3395348024194,726.2395348024194
GTL,Telecommunications - Service Provider,13.88,517.14,680.43,897.71,1407.32,218.33,875.6499999999999,731.2690230915674,717.3890230915674
IL&FSTRANS,Engineering - Turnkey Services,6.68,715.23,847.07,653.02,1179.6,219.75,848.73,708.7877096653983,702.1077096653984
NECLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,31.71,488.42,727.47,963.42,1287.66,711.15,866.7425000000001,723.8302303967829,692.1202303967829
DCW,Petrochemicals,55.75,442.53,796.47,1088.65,1216.64,1645.47,886.0725,739.9730160033151,684.2230160033151
GIPCL,Power Generation And Supply,241.2,657.61,941.22,1237.67,1542.67,3648.14,1094.7925,914.2783554650543,673.0783554650543
SELMC,Textiles - Cotton/Blended,60.98,135.32,520.96,1464.26,1326.82,202.06,861.8399999999999,719.7360758993165,658.7560758993164
SOBHA,Construction,1961.7,2429.92,2996.51,3392.42,3715.58,20981.12,3133.6075,2616.9246791268306,655.2246791268306
ENGINERSIN,Engineering - Turnkey Services,249.7,63.7,581.76,1668.26,1994.73,14034.19,1077.1125000000002,899.513510688878,649.8135106888781
KPIL,Transmisson Line Towers / Equipment,1148.7,913.58,2083.34,2410.46,3189.98,18660.17,2149.34,1794.947481404248,646.247481404248
BCG,Computers - Software - Medium / Small,8.98,652.01,683.97,757.67,962.41,1812.09,764.015,638.0408869723108,629.0608869723108
EMAMIPAP,Paper,117.7,642.81,1155.43,1216.17,546.04,712.07,890.1125,743.34688324855,625.6468832485499
DHAMPURSUG,Sugar,223.8,41.07,1115.36,1492.51,1379.2,1463.36,1007.0349999999999,840.990693392356,617.190693392356
VTL,Textiles - Cotton/Blended,488.65,844.37,971.99,334.43,3107.03,14130.55,1314.455,1097.721947979017,609.071947979017
IMFA,Mining / Minerals / Metals,755.1,1089.46,1398.56,1684.38,2360.79,4074.05,1633.2975,1363.9923111321866,608.8923111321866
BEPL,Petrochemicals,129.9,628.03,803.14,984.13,1102.94,3232.66,879.5600000000001,734.5343253016835,604.6343253016835
CYIENT,Computers - Software - Medium / Small,1848.95,1708.5,2838.0,3213.5,3961.17,20507.83,2930.2925,2447.133139779075,598.183139779075
GMDCLTD,Mining / Minerals / Metals,396.9,985.36,1111.46,1217.88,1443.53,12621.42,1189.5575000000001,993.4180904884912,596.5180904884912
ATLANTAA,Engineering - Turnkey Services,44.66,349.84,607.75,682.42,1387.81,363.98,756.9549999999999,632.1449704496972,587.4849704496972
GAEL,Solvent Extraction,135.45,372.73,679.58,1160.07,1195.04,6212.69,851.855,711.3974460865268,575.9474460865267
BSE,Miscellaneous,2600.75,3840.22,4093.58,3417.23,3845.0,35207.99,3799.0074999999997,3172.610635804874,571.8606358048742
MADRASFERT,Fertilizers,110.8,484.85,996.98,806.02,916.55,1784.99,801.0999999999999,669.0111510291265,558.2111510291265
PDSL,Trading,555.9,836.47,1414.28,1462.4,1614.78,7340.74,1331.9825,1112.3594376178426,556.4594376178426
MANAKSIA,Trading,99.1,315.96,548.65,787.47,1459.3,649.62,777.845,649.590536477657,550.490536477657
HGS,Computers - Software - Medium / Small,850.25,541.39,1851.43,2057.53,2209.47,3955.39,1664.955,1390.4299849727865,540.1799849727865
MGL,Miscellaneous,1640.65,1306.27,2331.67,3037.12,3747.92,16205.98,2605.745,2176.0984418154926,535.4484418154925
HINDNATGLS,Glass & Glass Products,25.07,259.18,365.02,768.83,1257.84,224.51,662.7175,553.445758934147,528.3757589341469
BBOX,Computers - Software - Medium / Small,393.0,220.88,1586.79,1263.19,1302.66,6605.35,1093.38,913.0987546027044,520.0987546027044
BAJAJCON,Personal Care - Indian,269.2,324.99,732.96,1061.52,1620.38,3844.01,934.9625000000001,780.8018203645859,511.6018203645859
PCBL,Chemicals,256.4,165.12,737.41,993.96,1689.38,9678.18,896.4675,748.654043234557,492.254043234557
SIS,Miscellaneous,447.75,422.19,1139.17,1424.5,1493.89,6453.41,1119.9375,935.2773386040226,487.5273386040226
HLVLTD,Hotels,24.61,131.29,216.15,764.87,1310.29,1622.44,605.65,505.78779630606726,481.17779630606725
PRAKASH,Steel - Medium / Small,188.65,548.92,714.16,877.24,1061.03,3378.36,800.3374999999999,668.3743753423712,479.7243753423712
EIHOTEL,Hotels,421.8,984.46,921.21,1009.04,1337.41,26377.89,1063.03,887.7529944807046,465.9529944807046
STLTECH,Cables - Telephone,139.0,413.0,910.3,1011.37,520.65,6777.75,713.83,596.1306078381244,457.13060783812443
PATANJALI,Solvent Extraction,1647.0,1906.32,2046.55,3163.56,2943.48,59620.55,2514.9775,2100.2970816219636,453.29708162196357
INFIBEAM,Computers - Software - Medium / Small,30.81,559.85,613.75,682.79,454.07,8571.33,577.615,482.37532892483955,451.56532892483955
HSCL,Chemicals,395.0,637.57,597.78,1064.65,1731.36,19462.41,1007.8399999999999,841.6629614944387,446.6629614944387
MSPL,Steel - Medium / Small,26.49,236.57,488.57,727.77,806.29,1020.95,564.8,471.67332180907584,445.18332180907584
FILATEX,Textiles - Manmade,57.65,529.02,631.54,683.4,563.81,2558.82,601.9425,502.6916050160405,445.04160501604053
SESHAPAPER,Paper,337.2,634.12,645.75,1061.33,1383.82,2126.65,931.2549999999999,777.705629074559,440.50562907455907
SPLPETRO,Petrochemicals,771.0,850.18,1366.44,1661.29,1866.86,14497.98,1436.1924999999999,1199.3868400004978,428.38684000049784
SHOPERSTOP,Textiles - Products,747.55,1062.41,1372.19,1645.02,1529.05,8220.15,1402.1675,1170.9720298472512,423.4220298472512
SAKHTISUG,Sugar,39.82,439.7,516.76,518.31,713.07,473.3,546.96,456.7748585281377,416.9548585281377
HIMATSEIDE,Textiles - Products,145.05,538.57,1181.52,447.08,457.99,1428.21,656.29,548.0780530631699,403.0280530631699
EROSMEDIA,Entertainment / Electronic Media Software,19.5,495.44,637.73,295.43,566.13,187.01,498.6825,416.4575625054081,396.9575625054081
TRITURBINE,Electric Equipment,613.25,815.77,1166.26,1342.91,1498.21,19493.77,1205.7875,1006.972017565264,393.72201756526397
TIMETECHNO,Plastics Products,328.6,476.47,795.24,905.3,1225.73,7456.9,850.6850000000001,710.4203607704565,381.82036077045643
POLYPLEX,Packaging,1028.1,635.23,1471.99,1823.32,2818.36,3227.46,1687.225,1409.0280106043165,380.92801060431657
NAHARINDUS,Textiles - Cotton/Blended,138.4,293.4,478.96,587.76,1055.93,597.98,604.0125,504.42029442139597,366.020294421396
JKLAKSHMI,Cement - North India,890.5,109.17,1525.82,2396.43,1974.45,10478.52,1501.4675,1253.8990143650294,363.3990143650294
NDL,Textiles - Products,47.85,369.98,510.95,591.66,495.28,689.7,491.96750000000003,410.8497608836872,362.9997608836872
ACC,Cement - North India,2649.0,112.26,3343.4,4997.85,5972.3,49744.87,3606.4525000000003,3011.8049409023483,362.80494090234833
VIPULLTD,Construction,47.29,334.62,711.87,550.74,282.73,567.41,469.99,392.4960065811749,345.2060065811749
NAVNETEDUL,Printing & Stationery,155.55,119.8,601.84,678.1,988.84,3518.78,597.145,498.685137662324,343.135137662324
ANKITMETAL,Steel - Medium / Small,4.0,93.85,444.57,626.7,439.56,56.44,401.16999999999996,335.0233472205152,331.0233472205152
BALMLAWRIE,Diversified - Large,270.5,364.35,705.02,730.79,1054.87,4625.64,713.7574999999999,596.0700619531542,325.5700619531542
THOMASCOOK,Travel Agencies,241.8,1140.83,573.61,342.97,646.36,11378.83,675.9425,564.4901634683627,322.69016346836264
DWARKESH,Sugar,74.18,356.58,532.7,491.61,495.93,1374.57,469.205,391.8404407921874,317.6604407921874
SUTLEJTEX,Textiles - Cotton/Blended,65.0,277.69,357.68,590.49,578.83,1064.89,451.1725,376.7812177477077,311.7812177477077
ARSHIYA,Miscellaneous,5.49,180.6,255.55,512.33,561.87,144.65,377.5875,315.3292322921112,309.8392322921112
EKC,Packaging,128.9,267.49,398.29,638.23,785.77,1446.34,522.4449999999999,436.3019982516689,307.40199825166894
ALPSINDUS,Textiles - Products,4.07,122.91,231.52,343.16,786.06,15.91,370.9125,309.75483529658084,305.68483529658084
ZEEMEDIA,Entertainment / Electronic Media Software,14.75,256.35,441.87,405.49,419.61,922.49,380.83000000000004,318.03709480267423,303.28709480267423
ANDHRSUGAR,Chlor Alkali / Soda Ash,116.4,160.95,463.44,606.26,774.35,1577.64,501.25,418.60172194900724,302.20172194900726
ZEELEARN,Computers - Education,7.74,147.74,272.44,463.6,599.44,252.4,370.805,309.665060363694,301.925060363694
ANDHRAPAP,Paper,579.0,573.38,809.58,1260.11,1570.5,2302.71,1053.3925,879.7045673579444,300.70456735794437
BLS,Computers - Software - Medium / Small,369.4,582.24,738.68,934.36,938.81,15209.69,798.5225,666.8586404289798,297.45864042897983
BLKASHYAP,Construction,93.5,249.97,250.49,518.62,792.74,2107.85,452.95500000000004,378.2698114023194,284.7698114023194
ITDCEM,Construction,544.0,680.92,1114.33,752.92,1400.8,9345.22,987.2425000000001,824.461666795497,280.46166679549697
FLEXITUFF,Packaging,30.9,118.69,257.44,503.72,563.53,83.07,360.845,301.34730844227335,270.44730844227337
DNAMEDIA,Entertainment / Electronic Media Software,4.94,149.33,431.0,430.27,301.54,58.14,328.035,273.9471638095613,269.0071638095613
PVP,Construction,24.39,305.26,329.01,305.57,436.7,635.16,344.135,287.39252585121517,263.0025258512152
AARVEEDEN,Textiles - Cotton/Blended,28.21,221.36,334.3,346.95,487.64,66.18,347.5625,290.2548847579089,262.0448847579089
TI,Breweries & Distilleries,248.5,234.92,510.71,760.95,913.82,4791.19,605.1,505.3284826959487,256.8284826959487
MARKSANS,Pharmaceuticals - Indian - Formulations,164.45,259.54,565.92,591.32,594.6,7452.29,502.845,419.9337314183513,255.48373141835128
TVTODAY,Entertainment / Electronic Media Software,229.05,216.91,551.01,720.88,801.85,1366.71,572.6625,478.2394186446352,249.18941864463517
KOLTEPATIL,Construction,436.95,292.96,748.86,1040.88,1199.43,3321.01,820.5325,685.2395359902719,248.28953599027187
TANLA,Computers - Software - Medium / Small,964.5,949.57,1581.1,1585.62,1678.4,12968.64,1448.6725000000001,1209.8090833719168,245.3090833719168
HMVL,Entertainment / Electronic Media Software,97.89,100.25,335.69,438.19,765.39,721.17,409.88,342.29720457348446,244.40720457348448
DELTACORP,Recreation / Amusement Parks,132.15,93.2,388.9,511.42,804.12,3538.59,449.40999999999997,375.30932640619125,243.15932640619124
VGUARD,Electric Equipment,432.7,521.28,734.12,849.06,1130.34,18815.1,808.7,675.3580300053111,242.6580300053111
CCHHL,Hotels,18.29,89.4,275.56,403.49,466.48,298.97,308.7325,257.8273438835349,239.53734388353493
ASIANHOTNR,Hotels,135.5,128.91,305.02,552.63,799.76,263.54,446.58,372.94594910321723,237.44594910321723
BASML,Textiles - Cotton/Blended,48.51,94.83,384.76,398.91,465.26,314.54,335.94,280.5487530604479,232.0387530604479
SHK,Chemicals,192.0,246.91,572.49,516.5,683.16,2657.66,504.765,421.5371534754925,229.53715347549252
GTPL,Entertainment / Electronic Media Software,178.1,184.51,507.09,648.07,597.34,2002.97,484.25250000000005,404.4068436072053,226.3068436072053
TITAN,Diamond Cutting / Jewellery,3409.05,1034.0,4341.0,4970.18,7050.91,302650.76,4349.0225,3631.9367726583073,222.8867726583071
GILLANDERS,Diversified - Medium / Small,101.93,129.36,341.81,481.62,587.0,217.5,384.9475,321.475683511153,219.54568351115302
GOKUL,Solvent Extraction,39.4,21.87,80.88,510.04,622.0,390.05,308.6975,257.79811483561826,218.39811483561826
KOHINOOR,Food - Processing - Indian,42.38,128.63,107.26,351.32,639.26,157.11,306.6175,256.0610742737152,213.68107427371518
TBZ,Diamond Cutting / Jewellery,122.85,49.47,425.93,475.66,627.99,819.77,394.7625,329.67234366263335,206.82234366263336
NIITLTD,Computers - Education,103.5,221.17,414.41,410.66,434.87,1400.18,370.27750000000003,309.22453685580757,205.72453685580757
TNPETRO,Chemicals,96.55,199.49,304.39,398.31,539.32,868.66,360.37750000000005,300.9568918736726,204.40689187367258
SOMATEX,Trading,33.5,264.45,256.89,257.59,358.0,110.66,284.23249999999996,237.36701034188764,203.86701034188764
RAJSREESUG,Sugar,76.5,129.02,204.01,415.95,591.29,253.48,335.0675,279.8201146516688,203.3201146516688
HUBTOWN,Construction,169.0,111.18,63.09,587.97,1016.62,1350.92,444.71500000000003,371.3884584070878,202.3884584070878
KEC,Transmisson Line Towers / Equipment,889.05,96.32,707.64,1322.2,3087.38,22856.42,1303.385,1088.4772176808115,199.4272176808115
EVEREADY,Dry Cells,349.95,255.14,686.44,780.73,893.84,2543.45,654.0375,546.1969550508206,196.24695505082065
VARDMNPOLY,Textiles - Cotton/Blended,10.03,111.58,147.44,252.61,467.64,273.73,244.8175,204.45092680947846,194.42092680947846
SUPRAJIT,Auto Ancillaries,518.05,434.84,736.38,1014.67,1166.64,7172.96,838.1324999999999,699.9375715140674,181.88757151406742
A2ZINFRA,Engineering - Turnkey Services,21.67,190.45,149.84,259.98,365.45,381.65,241.43,201.6219725289752,179.9519725289752
KAMATHOTEL,Hotels,226.05,318.48,377.55,559.5,681.3,585.6,484.2075,404.369263402741,178.319263402741
NAVKARCORP,Miscellaneous,110.95,501.53,488.56,316.18,66.55,1670.0,343.205,286.6158682922873,175.6658682922873
APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,912.5,897.79,1416.77,970.71,1913.58,17936.4,1299.7125,1085.4102554387016,172.9102554387016
BATAINDIA,Leather / Leather Products,1510.0,1058.15,1979.47,2327.02,2685.55,19407.62,2012.5475,1680.7099232003384,170.70992320033838
NATCOPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1214.95,1386.5,1558.9,1840.9,1838.3,21760.97,1656.15,1383.0767916326154,168.12679163261532
SURYALAXMI,Textiles - Cotton/Blended,81.4,135.53,257.82,351.89,423.93,153.08,292.2925,244.09804251926226,162.69804251926226
AKSHOPTFBR,Cables - Telephone,8.2,123.24,292.71,178.28,219.81,133.4,203.51,169.95438690043383,161.75438690043384
DOLATALGO,Finance & Investments,137.85,104.04,388.14,473.09,461.04,2426.16,356.5775,297.7834523855803,159.9334523855803
PTL,Miscellaneous,46.38,103.3,199.71,289.74,395.19,614.0,246.985,206.2610399911732,159.8810399911732
RALLIS,Pesticides / Agrochemicals - Indian,316.0,204.55,535.32,514.22,1011.86,6145.24,566.4875000000001,473.0825794764853,157.0825794764853
NILAINFRA,Construction,12.61,191.86,238.1,221.66,158.03,496.69,202.4125,169.03784746933354,156.42784746933353
VIKASECO,Diversified - Medium / Small,3.91,188.22,226.55,207.47,145.69,691.57,191.98250000000002,160.32759119017516,156.41759119017516
STEELXIND,Steel - Medium / Small,14.6,41.33,167.95,273.9,333.02,1732.48,204.04999999999998,170.40534935400484,155.80534935400485
ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,378.65,297.01,531.0,752.46,979.02,4234.25,639.8725,534.3675418011294,155.7175418011294
JAIBALAJI,Steel - Large,882.9,1023.3,1378.79,1460.46,1102.7,15226.33,1241.3125,1036.6395012006526,153.73950120065263
VAIBHAVGBL,Diamond Cutting / Jewellery,330.2,112.52,564.97,771.78,847.16,5476.16,574.1075,479.44616076576494,149.24616076576496
SUMEETINDS,Textiles - Manmade,2.14,146.22,246.41,109.23,193.5,22.18,173.84,145.17650542367167,143.03650542367168
SHIVAMAUTO,Auto Ancillaries,40.54,151.77,264.96,321.25,141.25,495.48,219.8075,183.5646842839031,143.0246842839031
RUCHINFRA,Miscellaneous,12.5,63.3,127.17,183.48,353.64,281.12,181.89749999999998,151.9054498119093,139.4054498119093
INDSWFTLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,135.3,114.66,359.65,332.32,504.45,799.49,327.77,273.72585816104953,138.42585816104952
TTL,Textiles - Products,114.3,166.85,253.17,340.26,440.38,245.74,300.16499999999996,250.67249051136906,136.37249051136905
ENIL,Entertainment / Electronic Media Software,244.8,227.92,355.36,526.05,716.12,1166.97,456.36249999999995,381.11546799591775,136.31546799591774
SKIPPER,Engineering,357.25,275.77,539.22,663.97,855.74,3876.8,583.675,487.4361297926918,130.18612979269182
GINNIFILA,Textiles - Cotton/Blended,31.9,37.27,149.43,197.23,385.59,273.22,192.38,160.65954966294265,128.75954966294265
TAKE,Miscellaneous,21.05,17.76,204.76,220.89,271.55,311.42,178.74,149.2685721320011,128.2185721320011
NOCIL,Chemicals,279.8,370.17,436.73,418.99,725.84,4662.76,487.9325,407.4800692167261,127.68006921672611
ANANTRAJ,Construction,441.15,416.29,216.82,1024.86,1056.95,15082.51,678.73,566.8180483560093,125.66804835600931
ACLGATI,Trading,112.95,107.34,211.38,373.97,447.82,1471.25,285.1275,238.11443885289887,125.16443885289887
RGL,Diamond Cutting / Jewellery,102.85,205.04,512.03,116.79,256.87,988.69,272.6825,227.72142452939684,124.87142452939685
IL&FSENGG,Construction,20.0,42.18,289.91,325.07,13.46,262.25,167.65500000000003,140.0113150989742,120.0113150989742
GLOBALVECT,Transport - Airlines,204.0,239.02,316.74,394.87,582.24,285.6,383.2175,320.0309334284163,116.03093342841629
LANCORHOL,Construction,42.71,168.22,173.62,196.06,203.75,311.77,185.41250000000002,154.84088133839464,112.13088133839463
NITCO,Trading,79.99,1.38,41.93,419.54,446.03,574.8,227.22,189.7549790748198,109.7649790748198
VOLTAS,Air-conditioners,1483.0,992.49,1909.18,1799.52,2923.81,49070.25,1906.25,1591.9392168883692,108.93921688836917
SHREDIGCEM,Cement - North India,111.2,124.23,269.23,337.07,319.0,1639.16,262.3825,219.11973328535737,107.91973328535737
DIGISPICE,Computers - Software - Medium / Small,52.0,165.2,319.96,242.91,22.44,1208.81,187.6275,156.69066251369048,104.69066251369048
JAMNAAUTO,Auto Ancillaries,124.05,146.96,127.91,329.59,468.85,4948.84,268.3275,224.0844958529122,100.0344958529122
HBLPOWER,Auto Ancillaries,504.0,336.86,562.18,878.93,1089.52,13970.62,716.8725,598.671447217735,94.67144721773502
COMPINFO,Trading,3.69,135.2,104.27,87.21,143.92,31.65,117.64999999999998,98.25135678264478,94.56135678264478
OILCOUNTUB,Steel - Medium / Small,37.8,125.26,111.02,168.35,218.1,167.42,155.6825,130.01289292234677,92.21289292234677
BLISSGVS,Pharmaceuticals - Indian - Formulations,102.45,128.47,172.04,167.41,459.91,1073.08,231.95749999999998,193.71133948925055,91.26133948925055
SANDUMA,Mining / Minerals / Metals,551.75,777.13,722.56,746.53,827.12,8940.27,768.335,641.6485866008787,89.89858660087873
SOTL,Petrochemicals,559.95,406.51,686.52,894.61,1115.08,3869.29,775.68,647.782511085099,87.83251108509899
INDRAMEDCO,Healthcare,238.5,295.47,346.85,421.96,490.78,2186.35,388.765,324.66373752320357,86.16373752320357
INDSWFTLTD,Pharmaceuticals - Indian - Formulations,21.45,59.63,144.56,168.51,140.65,116.19,128.3375,107.17665534290417,85.72665534290417
AVTNPL,Food - Processing - Indian,85.35,189.26,248.0,173.19,208.75,1299.87,204.8,171.03168609507568,85.68168609507569
VASCONEQ,Construction,73.21,45.75,150.87,205.59,331.52,1638.7,183.4325,153.18735234196762,79.97735234196763
GOLDENTOBC,Construction,43.8,46.91,112.06,226.1,200.46,77.13,146.3825,122.24631733306842,78.44631733306842
RADIOCITY,Entertainment / Electronic Media Software,16.05,58.29,107.19,187.92,79.24,554.82,108.16,90.32610921896183,74.27610921896184
KCPSUGIND,Sugar,45.43,174.48,202.17,71.95,123.98,515.09,143.14499999999998,119.54263040077933,74.11263040077932
JAYBARMARU,Auto Ancillaries,109.5,161.65,290.21,209.11,215.04,1185.35,219.0025,182.89241618182038,73.39241618182038
SIMBHALS,Sugar,33.1,47.76,107.52,71.63,272.07,136.61,124.745,104.17650235317488,71.07650235317487
GOLDIAM,Diamond Cutting / Jewellery,161.2,146.37,248.47,315.99,398.53,1721.56,277.34000000000003,231.61097569144673,70.41097569144674
RAJVIR,Textiles - Jute - Yarn / Products,6.92,65.5,115.36,70.7,98.33,2.76,87.4725,73.04965411109134,66.12965411109134
VISHWARAJ,Sugar,16.96,56.87,125.99,72.4,119.58,318.46,93.71,78.25868800766378,61.29868800766378
FDC,Pharmaceuticals - Indian - Bulk Drugs & Formln,476.65,232.57,627.57,811.64,894.24,7760.36,641.5050000000001,535.730868107527,59.08086810752707
ENERGYDEV,Power Generation And Supply,24.0,57.26,90.61,121.76,124.63,114.02,98.565,82.31317451152897,58.31317451152897
SNOWMAN,Miscellaneous,77.19,97.09,190.15,242.13,117.99,1289.75,161.84,135.15511756653834,57.96511756653834
BURNPUR,Cement - North India,9.34,47.35,50.54,58.31,152.31,80.48,77.1275,64.41038266258764,55.07038266258763
ANMOL,Trading,35.2,87.59,94.0,123.07,127.4,200.34,108.01499999999999,90.20501744902147,55.005017449021466
SHYAMCENT,Mining / Minerals / Metals,17.25,59.23,67.75,105.68,112.3,366.01,86.24,72.02037406659827,54.770374066598265
PRAKASHSTL,Steel - Medium / Small,9.66,71.75,72.0,53.61,111.07,169.06,77.1075,64.39368034949243,54.73368034949243
MAGNUM,Paper,50.0,83.03,86.48,92.03,238.59,294.43,125.0325,104.41659810391869,54.41659810391869
MSTCLTD,Trading,848.45,570.84,1404.14,1468.26,880.8,5973.08,1081.01,902.7683739533094,54.31837395330933
TGBHOTELS,Hotels,17.3,21.12,18.8,113.04,183.47,50.67,84.1075,70.2394899328202,52.93948993282021
GULFPETRO,Chemicals,67.35,124.88,178.69,129.07,140.98,343.36,143.405,119.75976047101722,52.40976047101722
DAMODARIND,Textiles - Spinning - Synthetic / Blended,52.76,158.19,220.81,20.79,99.35,122.93,124.785,104.20990697936533,51.44990697936533
PDMJEPAPER,Paper,114.2,81.21,209.22,214.35,285.03,1084.32,197.4525,164.89567382171842,50.695673821718415
SALSTEEL,Steel - Sponge Iron,21.3,43.33,84.32,92.71,108.42,180.98,82.195,68.64233124308957,47.342331243089575
SIGIND,Plastics Products,89.5,92.12,95.26,179.26,274.26,263.46,160.225,133.80640578409913,44.30640578409913
HUHTAMAKI,Packaging,363.45,120.24,475.31,547.48,808.0,2744.84,487.7575,407.33392397714294,43.883923977142956
MIRCELECTR,Electronics - Consumer,20.88,5.64,30.45,63.0,207.88,482.22,76.7425,64.08886313550462,43.20886313550463
CELEBRITY,Textiles - Products,19.33,48.73,59.43,72.05,117.32,109.31,74.3825,62.11799019026839,42.78799019026839
AVANTIFEED,Food - Processing - Indian,608.0,156.88,640.81,1001.84,1317.32,8283.69,779.2125,650.7325571355427,42.73255713554272
OCCL,Chemicals,209.0,172.29,247.29,351.15,433.56,208.8,301.0725,251.4303579680648,42.43035796806481
XCHANGING,Computers - Software - Medium / Small,126.85,65.04,171.82,256.63,316.13,1413.07,202.405,169.0315841019228,42.181584101922795
VASWANI,Steel - Sponge Iron,35.0,49.44,85.71,95.87,132.19,105.0,90.8025,75.83058924144584,40.830589241445836
IMAGICAA,Recreation / Amusement Parks,77.79,108.73,124.06,213.75,120.3,4218.69,141.71,118.34423943619714,40.554239436197136
ZENITHSTL,Steel - Medium / Small,12.73,24.65,65.19,95.16,62.5,181.13,61.875,51.67278113834379,38.94278113834379
RUPA,Textiles - Products,282.45,151.29,415.27,361.59,609.81,2246.18,384.48999999999995,321.0936180990998,38.6436180990998
DCM,Castings & Forgings,78.33,31.75,66.11,225.3,233.38,146.29,139.135,116.19381662518727,37.86381662518727
SUNDARAM,Printing & Stationery,3.08,19.46,30.27,35.92,107.89,145.96,48.385000000000005,40.4070709556164,37.3270709556164
KOTARISUG,Sugar,59.32,14.95,102.12,159.78,184.64,491.68,115.3725,96.34938087892635,37.029380878926354
INCREDIBLE,Steel - Medium / Small,43.0,36.32,41.39,116.78,188.08,201.09,95.64250000000001,79.87254901048964,36.872549010489635
SCHAND,Printing & Stationery,230.2,262.82,382.23,373.64,258.11,810.7,319.2,266.5689169997468,36.36891699974683
ELECTHERM,Steel - Medium / Small,794.8,511.32,863.6,1240.69,1364.79,1012.8,995.1,831.0235880527822,36.22358805278225
NOIDATOLL,Construction,13.53,20.87,30.13,25.61,152.86,251.94,57.36750000000001,47.908497324508076,34.378497324508075
KELLTONTEC,Computers - Software - Medium / Small,107.2,18.58,159.53,242.96,252.42,1044.16,168.3725,140.6105105812653,33.410510581265285
VRLLOG,Miscellaneous,568.9,247.62,623.54,764.79,1241.08,4976.07,719.2574999999999,600.6631980543402,31.76319805434025
NAGREEKEXP,Textiles - Cotton/Blended,33.9,46.58,42.21,66.71,147.15,105.93,75.6625,63.18693822836261,29.286938228362608
MEGASOFT,Pharmaceuticals - Indian - Bulk Drugs & Formln,67.31,75.06,102.58,119.65,160.49,496.56,114.445,95.57481110913542,28.264811109135422
NAGREEKCAP,Finance & Investments,28.47,19.85,111.39,120.76,13.46,35.93,66.365,55.42245042822117,26.95245042822117
ISMTLTD,Steel - Medium / Small,131.65,135.3,230.03,329.76,62.54,3956.1,189.4075,158.17716837916527,26.52716837916526
UTTAMSUGAR,Sugar,349.2,306.25,368.04,465.57,654.61,1331.83,448.61749999999995,374.647497249793,25.447497249793003
TNTELE,Cables - Telephone,10.37,16.09,31.53,48.13,71.77,47.37,41.879999999999995,34.97464362139535,24.604643621395354
FCSSOFT,Computers - Software - Medium / Small,4.1,18.06,9.57,50.29,47.69,700.92,31.4025,26.224719348635812,22.124719348635814
PEARLPOLY,Trading,32.35,47.86,55.65,65.59,90.49,54.44,64.8975,54.19691820485924,21.846918204859236
SURANAT&P,Power Generation And Supply,25.57,46.0,59.55,99.1,20.79,347.15,56.35999999999999,47.06711830233625,21.497118302336247
KECL,Electric Equipment,190.75,113.95,255.5,341.94,304.09,1266.87,253.87,212.01081127420343,21.260811274203434
SGL,Textiles - Processing,17.99,22.41,33.04,37.05,94.32,49.38,46.705,39.00407665561772,21.014076655617725
VARDHACRLC,Textiles - Manmade,55.74,22.98,60.31,85.14,196.38,447.94,91.2025,76.16463550335028,20.42463550335028
KUANTUM,Paper,156.8,452.18,145.89,135.7,113.64,1368.28,211.8525,176.9213392502784,20.121339250278396
PRAENG,Construction,31.33,26.04,35.17,65.84,118.79,219.13,61.46000000000001,51.32620814161793,19.996208141617934
BCP,Trading,4.69,9.85,27.18,35.75,44.95,32.74,29.4325,24.579541508756424,19.889541508756423
RUBYMILLS,Textiles - Composite,223.5,223.38,251.79,304.23,377.24,747.39,289.15999999999997,241.48204273072304,17.982042730723037
SAKSOFT,Computers - Software - Medium / Small,285.4,241.93,347.86,397.92,461.61,3025.54,362.33000000000004,302.58745518959364,17.187455189593663
SRPL,Solvent Extraction,1.18,16.05,22.28,16.22,33.03,50.55,21.895,18.28485726099454,17.10485726099454
JAYAGROGN,Chemicals,318.7,92.73,437.35,506.97,560.9,956.1,399.48750000000007,333.6182651313797,14.918265131379712
